"namaKerajaan,""ibuKota"",""agama"",""pendahulu"",""penerus"",""tahunMulai"",""wikidataID"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Srivijaya"",""Pagaruyung Kingdom"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Dharmasraya"",,""Mòluóyú Guó"",""Pagaruyung Kingdom"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Dharmasraya"",,""Mòluóyú Guó"",""Pagaruyung Kingdom"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Dharmasraya"",,""Mòluóyú Guó"",""Majapahit Empire"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Dharmasraya"",,""Mòluóyú Guó"",""Majapahit Empire"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Mòluóyú Guó"",""Kingdom of Singapura"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Mòluóyú Guó"",""Kingdom of Singapura"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Dharmasraya"",,""Mòluóyú Guó"",""Kingdom of Singapura"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Dharmasraya"",,""Mòluóyú Guó"",""Kingdom of Singapura"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Mòluóyú Guó"",""Pagaruyung Kingdom"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Mòluóyú Guó"",""Pagaruyung Kingdom"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Mòluóyú Guó"",""Majapahit Empire"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Mòluóyú Guó"",""Majapahit Empire"",,""http://www.wikidata.org/entity/Q3112053"""
"Wajoq,""Sengkang, Indonesia"",,""Cinnotabiq"",""Wajo Regency"",,""http://www.wikidata.org/entity/Q3106846"""
"Mapia Kingdom,""Pegun Island"",,""Austronesian peoples"",""Dutch East Indies"",,"
"Kotapinang Sultanate,""Kotapinang"",,,""East Sumatra"",,"
"Kotapinang Sultanate,""Kota Pinang"",,,""East Sumatra"",,"
"Kingdom of Banggai,,,,""Dutch East Indies"",,""http://www.wikidata.org/entity/Q25459957"""
"Salawati Kingdom,,,""Sultanate of Tidore"",,,""http://www.wikidata.org/entity/Q115515660"""
"Tambora culture,,,,,,""http://www.wikidata.org/entity/Q2497019"""
"Chen Zuyi,,,,,,""http://www.wikidata.org/entity/Q5091011"""
"Salakanagara,,,,,,""http://www.wikidata.org/entity/Q2673941"""
"Dewa Agung,,,,,,""http://www.wikidata.org/entity/Q5268007"""
"Amanuban,,,,,,""http://www.wikidata.org/entity/Q454548"""
"Ubud Palace,,,,,,""http://www.wikidata.org/entity/Q19646466"""
"List of monarchs of Java,,,,,,""http://www.wikidata.org/entity/Q4201758"""
"Nagarakretagama,,,,,,""http://www.wikidata.org/entity/Q49335"""
"List of monarchs of Bali,,,,,,""http://www.wikidata.org/entity/Q116467"""
"Amarasi,,,,,,""http://www.wikidata.org/entity/Q454941"""
"Rajasa dynasty,,,,,,""http://www.wikidata.org/entity/Q12524046"""
"Territories of Majapahit,,,,,,""http://www.wikidata.org/entity/Q12524530"""
"Gelgel, Indonesia,,,,,,""http://www.wikidata.org/entity/Q2631199"""
"Sanjaya dynasty,,,,,,""http://www.wikidata.org/entity/Q7418495"""
"Pararaton,,,,,,""http://www.wikidata.org/entity/Q1293647"""
"Tanette,,,,,,""http://www.wikidata.org/entity/Q109439262"""
"Kingdoms of Sunda,,,,,,""http://www.wikidata.org/entity/Q4271937"""
