"kerajaanLabel,orangLabel,peranLabel,ayahLabel,ibuLabel,pasanganLabel,anakLabel"
"Kerajaan Klungkung,Dewa Agung Istri Kanya,,,"
"Kerajaan Klungkung,Gusti Ayu Karang,,,"
"Kadipaten Surabaya,Pangeran Pekik,Jayalengkara,,"
"Kutai,Muhammad bin Yahya,,,"
"Kesunanan Surakarta,Kanjeng Raden Mas Haryo Wuryaningrat,,,"
"Kesultanan Cirebon,Panembahan Ratu I,,,"
"Kesultanan Siak Sri Inderapura,Syarif Kasim II dari Siak,Syarif Hasyim dari Siak,,"
"Kesultanan Palembang,Syarif Ali bin Syekhabubakar,,,"
"Majapahit,Sunan Mertayasa,Maulana Ishaq,,"
"Kesultanan Cirebon,Sunan Gunung Jati,Syarif Abdullah Umdatuddin,,"
"Kesultanan Banjar,Tahlilullah,Saidullah dari Banjar,,"
"Kesultanan Pajang,Sunan Demak,Sunan Ampel,,"
"Kesultanan Banjar,Tamjidillah I dari Banjar,Surya Alam dari Banjar,,"
"Kadipaten Surabaya,Jayalengkara,,,"
"Kesultanan Banjar,Patih Kuin,,,"
"Kesultanan Banjar,Adam dari Banjar,,,"
"Kesultanan Cirebon,Rara Santang,Sri Baduga Maharaja,,Syarif Abdullah Umdatuddin"
"Kesultanan Banjar,Hamidullah dari Banjar,,,"
"Kesultanan Banjar,Khatib Dayan,,,"
"Kesultanan Banjar,Mustain Billah dari Banjar,Hidayatullah I dari Banjar,,"
"Kesultanan Ngayogyakarta Hadiningrat,Ahmad Dahlan,,,Nyai Ahmad Dahlan"
"Kesultanan Banjar,Patih Masih,,,"
